;;;;;;;;;;;;;;
Jira;;;;;;;;;;;;;;
Displaying 75 issues at 20/May/25 11:46 AM.;;;;;;;;;;;;;;
Issue Type;Key;Linked Issues;Priority;Summary;Status;Assignee;Creator;Created;Fix Version/s;Date of First Response;Resolved;Redeclared;Linked issue;Description
Incident;OEKB-6767;;Medium;M12 PROD - PROX0003216319 - validation of update not possible;Closed;Emna EL MEKKI;OEKB - Ana Maria Galic;31/03/2025 12:29;Production Hotfix 23/04/2025;31/03/2025 12:34;08/04/2025 12:16;NO;;"Hi, 

on friday I updated this PROX event - I validated the REPL message because the meeting resolutions changed and I could save the update. The order of the meeting resolutions is still not correct (ticket OEKB-6731). 
Anyway, Bert could not validate my update because an error appears. 

Attached the received REPL message. 

Thanks 
BR Ana"
Incident;OEKB-6766;PMG-42508;Medium;M12 PROD - PROX0003216653 - validation of REPL not possible;Pending;Nadia BOUSSETTA;OEKB - Ana Maria Galic;31/03/2025 12:20;;31/03/2025 12:28;;NO;;"Hi, 

I wanted to validate the REPL message as some meeting resolutions were added but I received this error message. 
Attached the REPL message we received. 

Can you please check? 
Thanks 

BR Ana"
Incident;OEKB-6761;;Major;M12 PROD - PRED0003209274 Update not possible - URGENT;Fixed Delivered;Emna EL MEKKI;Dalibor VIDIC;28/03/2025 08:16;;28/03/2025 08:33;18/04/2025 14:08;NO;;"Hello, 

The above-mentioned PRED event cannot be updated. 

Please check\! 

Thank you and BR, Dalibor"
Incident;OEKB-6749;PMG-42462;Major;M12 PROD - AT0000A16WK4 - Error in the Generated Schedule;Planned;Emna EL MEKKI;Dalibor VIDIC;27/03/2025 08:33;MR3_2025;27/03/2025 08:39;;NO;;"Hello, 

The above ISIN has a coupon date of 28 March 2025. 

The interest period is from 28 March 2024 to 27 March 2025, which is 360 days. 

Although the interest period displayed is correct, Megacor calculates 362 days. This results in an incorrect interest rate. 

Please check why the referentials here are not correct. 



Thank you and BR, Dalibor"
Incident;OEKB-6746;PMG-42461, OEKB-6768;Major;M12 PROD - AT0000A073W3 PCAL Event is missing;Planned;Emna EL MEKKI;Dalibor VIDIC;26/03/2025 12:27;MR3_2025;26/03/2025 12:32;;NO;;"Hello, 

A PCAL event (15.04.2025) for the above ISIN is missing in M12. 

Please check\! 



Thank you and BR, Dalibor"
Incident;OEKB-6744;;Major;+++ URGENT +++ M12 PROD - seev.001 IN received with Error in MegaBroker;Closed;Emna EL MEKKI;Bertram Schon;25/03/2025 06:58;;25/03/2025 07:21;18/04/2025 15:25;NO;;"Hi, 
could you please urgently check the attached seev.001 IN which was received in MegaBroker with error description “*Could not receive Message”*?\! => 

******FlowIn Identification:* 

# SenderReceiver with identifier (SWIFT20022_SRD ) found related to the device ( 3i.iso20022.to.mb ) 

# 31 instances of FlowInConfiguration are found for the sender ( SWIFT20022_SRD ). 

# Cannot find any FlowInConfiguration related to the device ( 3i.iso20022.to.mb ). 

# FlowIn Configuration with identifier ( SEEV.001.001.11_DATACA_FLOWIN ) found for the Sender with identifier ( SWIFT20022_SRD ) and the InputDevice with identifier ( 3i.iso20022.to.mb ) using the preparsing grammar with identifier ( HEAD20022 ). 

# No Domain Configuration found related to the flowIn (120768704) 

******Single Flow Record Type Config Identification:* 

# The configuration ( SEEV.001.001.11_DATACA_FLOWIN ) has one RecordTypeConfiguration ( 1182917002 ) 

******Receivers Determination Failed:* 
*Could not receive Message.* 

Thanks, Bert 

"
Incident;OEKB-6742;;Critical;M12 PROD - AT000B078746 - INTR0003212604 - Incorrect payment URGENT;Fixed Delivered;Emna EL MEKKI;Dalibor VIDIC;24/03/2025 08:02;;24/03/2025 08:11;11/04/2025 17:02;NO;;"Hello, 

the above INTR event was incorrectly executed on 21/03/2025. 

Client entitlements have not been correctly calculated. 

Client 247200 => Eligible 286.800.000 

=> Calculated 261.800.000 

Client 250500 => Eligible 102.500.000 

=> Calculated 127.500.000 

The holdings displayed under 'Client Eligible Position' are correct'. 



Please check urgently\! 



Thank you and BR, Dalibor 





"
Incident;OEKB-6741;;Major;M12 PROD - REDM0003212605 - incorrect Client and Market Calculation - URGENT;Planned;Emna EL MEKKI;Dalibor VIDIC;21/03/2025 10:14;MR3_2025;21/03/2025 11:09;;NO;;"Hello, 

the entitlements for the ISIN mentioned above have been calculated incorrectly. 

The redemption rate is 100%. This means that the redemption amount is EUR 1.000.000,00. 

However, only EUR 1.000,00 has been calculated. 

In the Swift messages under '92A' it says that the rate is 0;1. This is not correct. 

Please check urgently as today is payday. 



Thank you and BR, Dali"
Incident;OEKB-6739;OEKB-6545, OEKB-6666, OEKB-6705;Major;M12 PROD - Event automatically closed - INTR00157866;Fixed Delivered;Emna EL MEKKI;Dalibor VIDIC;20/03/2025 12:19;;20/03/2025 12:33;23/03/2025 14:31;NO;;"Hello, 

the below INTR Event has been closed which is not correct. 

INTR00157866 

Please check\! 

Thank you and BR, Dali"
Incident;OEKB-6735;;Major;"M12 PROD - DVCA0003214189 - Event set to ""Confirmed""";Fixed Delivered;Emna EL MEKKI;Dalibor VIDIC;20/03/2025 10:16;;20/03/2025 10:40;18/04/2025 15:23;NO;;"Hello, 

the above event was set to status ‘confirmed’ and this is not correct. 

The reason for this is probably that the ‘Market Entitlement’ was not calculated (is cancelled manually). 

Please check and change the status to the previous status “activated” “executed”. 



Thank you and BR, Dalibor"
Incident;OEKB-6733;;Medium;M12 PROD - No E-Mail-Alert received for Meeting Cancellation (seev.002);Pending;Nadia BOUSSETTA;Bertram Schon;20/03/2025 08:20;;20/03/2025 08:42;;NO;;"Hi, 
we recently received 3 seev.002 meeting cancellation messages from our custodian, but we noticed that we did not get alerted via E-Mail for 2 of those 3. 
Only one alert was received (see screenshot) for MainRef PROX0003215277. 

We also noticed that for the other 2, no MainRef is assigned to cancellation message, although in both cases, valid events with corresponding Meeting ID (“Market Reference”) exist. 

Could you please check? 
Thanks, Bert 





"
Incident;OEKB-6731;;Medium;M12 PROD - PROX0003216820/ PROX0003216821 - order of meeting resolutions not correct;Pending;Nadia BOUSSETTA;OEKB - Ana Maria Galic;19/03/2025 12:21;;19/03/2025 12:49;;NO;;"We noticed that in some PROX events the meeting resolutions are mapped completely incorrect in M12 in comparison to the seev.001 received. 

Attached you will find two examples: 

ISIN IT0001031084 - received seev.001 from our custodian and our sent seev.001 to the clients 
ISIN - ES0113900J37 - received seev.001 from our custodian and our sent seev.001 to the clients 


Can you please check this behaviour? I think it could be related to OEKB-6694 as I could not save these two PROX events and had to do a workaround by duplicating the events (I reveiced the same error message as described in OEKB-6694). 


Thanks 
BR Ana 

"
Incident;OEKB-6730;;Major;M12 PROD - Client Payment Status - WaitingCashBookingConfirmation - DVCA0003216059;Canceled;Emna EL MEKKI;Dalibor VIDIC;19/03/2025 10:28;;19/03/2025 10:54;;NO;;"Hello, 

In event DVCA0003216059 there is a claim booking in USD (14,07) for 240000 (credit) but the status is “WaitingCashBookingConfirmation”. 

Is this the same problem as in ticket “OEKB-6675”? 

Please check\! 

Thank you and BR, Dali"
Incident;OEKB-6721;;Major;"M12 PROD - CCSYS Instruction with Status ""Rejected""";Fixed Delivered;Emna EL MEKKI;Dalibor VIDIC;17/03/2025 14:00;;17/03/2025 14:58;19/03/2025 15:13;NO;;"Hello, 

A claim has been created in the event below. 

AT0000A146T3 - DVCA0003215162 

However, the instruction in CCSYS was rejected with the reason “ The Receiving Securities Account does not exist in T2S” 

I have found several claims that have been rejected with this reason. 

It concerns Cross CSD Instructions. 



Please check\! 



Thank you and BR, Dalibor 

"
Incident;OEKB-6713;;Major;M12 PROD - - Error in the Generated Schedule AT0000A30FD5;Pending;Nadia BOUSSETTA;Dalibor VIDIC;13/03/2025 16:59;;14/03/2025 08:17;;NO;;"Hello, 

Please check why the 'Loan Schedule' was not created correctly for the AT0000A30FD5. 

The next coupon date should be the 7th of April 2025 and the last coupon date was the 7th of October 2024 but M12 calculate the coupon from 11.04.2024. 

Coupons from 2024 are not available in the Loan Schedule. 

Thank you and BR, Dali"
Incident;OEKB-6712;;Major;M12 PROD - AT000B015078 - Error in the Generated Schedule;Pending;Emna EL MEKKI;Dalibor VIDIC;13/03/2025 15:58;;13/03/2025 16:07;;NO;;"Hello, 

Could you please check why the 'Loan Schedule' for the AT000B015078 has not been created correctly? 

The next coupon date should be the 7th of April 2025 and the last coupon date was the 6th of January 2025 but M12 calculates the coupon from 08.01.2025 to 07.04.2025 



Thank you and BR, Dalibor 

"
Incident;OEKB-6708;;Major;M12-I5: - MCAL0003211223 - MT564 WITH Message not sent to 3i;Planned;Emna EL MEKKI;Dalibor VIDIC;13/03/2025 11:20;MR3_2025;13/03/2025 11:27;;NO;;"Hello, 

the above event has been withdrawn. 

I have noticed, that the MT564 WITH message was not sent to DEF005 (3i), DEF001 and DEF003. 

Please check\! 



Thank you and BR, Dalibor"
Incident;OEKB-6704;PMG-42363;Medium;M12 PROD - PLAC0003214814 - EFFD must be a critical field / Automatic update must not remove the outgoing comment;Planned;Thouraya BEN ABDALLAH;Bertram Schon;12/03/2025 11:12;MR3_2025;12/03/2025 11:22;;NO;;"PLAC0003214814 
was set up without Effective Date due to 564 IN (attached). 
Today, we receive 564 REPL (attached) including the Effective Date. 
However, the event was automatically updated - obviously, Effective Date is not defined as critical field. 
Also, I noticed that the outgoing comment was removed in the event data due to the automatic update. 
See attached 564 NEWM OUT including the outgoing comment and 564 REPL OUT which was automatically sent without outgoing comment, which is confusing for the client. 

Please make sure that 
*Effective Date is defined as critical field* 
and that 
the *Outgoing Comment must never be removed by an automatic update* 

Thanks, Bert 

"
Incident;OEKB-6703;PMG-42396;Major;M12 PROD - MT566 from 3i has not arrived in M12 - URGENT;Planned;Emna EL MEKKI;Dalibor VIDIC;12/03/2025 11:06;MR3_2025;12/03/2025 11:10;;NO;;"Hello, 

MT566 message from 3i for AT0000A2HB37 - INTR0003211756 has not arrived in M12. 

Please check urgently\! 



Thank you and BR, Dalibor 

"
Incident;OEKB-6698;OEKB-6641;Medium;M12 PROD - PROX0003216361 - Validate/Reject of manual update not possible;Closed;Nadia BOUSSETTA;Bertram Schon;10/03/2025 08:10;;10/03/2025 08:25;10/03/2025 10:07;NO;;"PROX0003216361 
I update the event manually (added ProcessingTextForNextIntermediary and ANOU). When trying to validate, the below error popped up. 

As workaround, I duplicated the event, validation was successfull. 

Hence, PROX0003216361 should be immediately closed after validation/rejection of the update. 

Please let me know when the event is “unblocked” and ready to be closed. 

Thanks, Bert"
Incident;OEKB-6695;PMG-42343, OEKB-6543;Major;M12 PROD - Reconciliation Mismatch with Market CP - DVCA0003214713 - URGENT;Planned;Emna EL MEKKI;Dalibor VIDIC;06/03/2025 10:41;MR3_2025;06/03/2025 11:20;;NO;;"Hello,  

The market payment for the above dividend payment was successful. However, no client booking has been made. 

There is a Reconciliation Mismatch with Market Cash Payment and I believe that this is again due to the cent difference between collection letter and the market entitlement. 



Please check urgently\! 



Thank you and BR, Dalibor"
Incident;OEKB-6694;VEGGO-7857;Medium;M12 PROD - PROX0003216162 - saving of event not possible;Pending;Thouraya BEN ABDALLAH;OEKB - Ana Maria Galic;06/03/2025 09:35;;06/03/2025 09:47;;NO;;"Hi, 

PROX0003216162 - I updated the announcement date and the client deadline time in this PROX event and wanted to save the update but then this error popped up. Can you please check what this error is about? 
Attached the newest REPL message from this PROX event. 

Thank you 
BR Ana 

"
Incident;OEKB-6692;PMG-42352;Major;M12 PROD - AT0000A1PHY1 - PCAL0003204291 Update not found;Planned;Emna EL MEKKI;Dalibor VIDIC;04/03/2025 15:58;MR3_2025;04/03/2025 16:03;;NO;;"Hello, 

I have updated the above ISIN and it has been validated. 

At the same time Gerold did an update. This update could not be found. 

It is also possible to update the event again. However, these updates cannot be found under the menu item Event Validation => Validate/Reject Manual Creation/Updates. 



Please check\! 



Thank you and BR, Dalibor"
Generated at Tue May 20 10:46:47 UTC 2025 by Emna EL MEKKI using Jira 9.4.25#940025-sha1:6cf935f91739b43d1216a637e5c998e86376bd2e. ;;;;;;;;;;;;;;
